PhenomenonTime,ingestedTime,gap
1625738343956,1625738344292,336
1625738352053,1625738352370,317
1625738384440,1625738384766,326
1625738459446,1625738459806,360
1625738477762,1625738478089,327
1625739922502,1625739922828,326
1625739924264,1625739924530,266
1625739932195,1625739932375,180
1625739936975,1625739937312,337
1625739939771,1625739940445,674
1625739944519,1625739948783,4264
1625739975544,1625739975851,307
1625739979620,1625739979761,141
1625739980619,1625739980804,185
1625739984928,1625739985205,277
1625739989517,1625739989752,235
1625739991249,1625739991500,251
1625739991813,1625739992024,211
1625739992361,1625739992540,179
1625739992569,1625739992771,202
1625739993237,1625739993477,240
1625739995559,1625739995840,281
1625739998503,1625739998730,227
1625740003971,1625740004266,295
1625740008174,1625740008369,195
1625740011983,1625740012201,218
1625740012795,1625740012976,181
1625740013247,1625740013490,243
1625740013758,1625740014022,264
1625740015853,1625740016082,229
1625740017514,1625740018031,517
1625740019477,1625740019888,411
1625740019549,1625740020013,464
1625740020223,1625740020558,335
1625740020346,1625740020642,296
1625740021130,1625740021339,209
1625740022659,1625740022868,209
1625740023587,1625740023889,302
1625740024210,1625740024403,193
1625740026219,1625740026548,329
1625740027277,1625740027504,227
1625740027509,1625740027744,235
1625740029403,1625740029575,172
1625740031607,1625740031889,282
1625740033445,1625740033684,239
1625740035379,1625740035743,364
1625740036201,1625740036446,245
1625740038938,1625740039154,216
1625740041997,1625740042223,226
1625740042085,1625740042246,161
1625740043489,1625740043703,214
1625740044448,1625740044654,206
1625740044919,1625740045282,363
1625740046253,1625740046476,223
1625740049485,1625740049693,208
1625740051464,1625740051885,421
1625740055609,1625740055838,229
1625740055786,1625740056016,230
1625740057736,1625740057904,168
1625740061717,1625740061914,197
1625740064925,1625740065145,220
1625740066858,1625740067092,234
1625740068074,1625740068248,174
1625740070824,1625740070989,165
1625740074164,1625740074441,277
1625740074498,1625740074756,258
1625740074664,1625740074860,196
1625740075572,1625740075810,238
1625740078571,1625740078791,220
1625740078675,1625740078902,227
1625740078939,1625740079128,189
1625740080521,1625740080710,189
1625740085552,1625740085990,438
1625740087077,1625740087295,218
1625740088641,1625740089064,423
1625740092609,1625740092801,192
1625740092741,1625740092932,191
1625740095311,1625740095846,535
1625740095928,1625740096504,576
1625740098350,1625740098555,205
1625740102388,1625740102749,361
1625740105375,1625740105694,319
1625740109475,1625740109728,253
1625740111190,1625740111397,207
1625740112955,1625740113381,426
1625740115315,1625740115563,248
1625740115888,1625740116182,294
1625740116746,1625740116915,169
1625740118083,1625740119058,975
1625740120524,1625740120769,245
1625740120918,1625740121184,266
1625740121704,1625740121894,190
1625740126663,1625740126835,172
1625740128896,1625740129195,299
1625740130005,1625740130319,314
1625740130469,1625740130645,176
1625740133076,1625740133232,156
1625745274170,1625745276271,2101
1625747548944,1625747549789,845
1625748078271,1625748079119,848
